id,material_nr,Brand,material_desc,Currency,price
80,2BL02240,kyocera,KYOCERA SPONGE FAN,usd,1.2
81,2BL04060,kyocera,KYOCERA FRONT MOUNT COVER,usd,7.2
82,2BL04170,kyocera,KYOCERA LEFT TOP COVER,usd,19.2
83,2BL04181,kyocera,KYOCERA REAR TOP COVER,usd,15.6
84,2BL04200,kyocera,KYOCERA LEVER CONT RELEASE,usd,4.8
85,2BL04220,kyocera,KYOCERA MOUNT HINGE,usd,7.2
86,2BL04250,kyocera,KYOCERA COVER LCD,usd,4.8
87,2BL04310,kyocera,KYOCERA PLATE NUMBER,usd,2.4
88,2BL04330,kyocera,KYOCERA HOLDER SWITCH,usd,1.2
89,2BL04350,kyocera,KYOCERA FRONT HINGE COVER P,usd,6.0
90,2BL04370,kyocera,KYOCERA PLATE NUMBER 2,usd,2.4
91,2BL04450,kyocera,KYOCERA GROUND PLATE INNER L,usd,2.4
92,2BL04460,kyocera,KYOCERA SPACER WIRE,usd,1.2
93,2BL04470,kyocera,KYOCERA MOUNT HINGE S,usd,3.6
94,2BL04480,kyocera,KYOCERA FRONT HINGE S COVER,usd,7.2
95,2BL04550,kyocera,KYOCERA LEVER L COVER LOCK M,usd,1.2
96,2BL04560,kyocera,KYOCERA SPRING L COVER LOCK,usd,2.4
97,2BL04600,kyocera,KYOCERA LEVER COVER RELEASE,usd,2.4
98,2BL04660,kyocera,KYOCERA FRONT PLATE EXIT L,usd,1.2
99,2BL04670,kyocera,KYOCERA REAR PLATE EXIT L,usd,1.2
100,2BL04680,kyocera,KYOCERA STRAP COVER,usd,7.2
101,2BL04700,kyocera,KYOCERA GROUND PLATE LEFT B,usd,2.4
102,2BL04880,kyocera,KYOCERA FILM HINGE,usd,1.2
103,2BL06020,kyocera,KYOCERA GUIDE A FEED,usd,25.2
104,2BL06051,kyocera,KYOCERA FRONT RAIL FEED,usd,7.2
105,2BL06061,kyocera,KYOCERA REAR RAIL FEED,usd,6.0
106,2BL06110,kyocera,KYOCERA GUIDE VERTICAL FEED,usd,7.2
107,2BL06130,kyocera,KYOCERA MOUNT C FEED DRIVE,usd,6.0
108,2BL06150,kyocera,KYOCERA GEAR Z28 FEED,usd,2.4
109,2BL06160,kyocera,KYOCERA GEAR Z35-15 FEED,usd,4.8
110,2BL06170,kyocera,KYOCERA GEAR Z42 FEED,usd,2.4
111,2BL06180,kyocera,KYOCERA GEAR Z28-P18 FEED,usd,2.4
112,2BL06190,kyocera,KYOCERA GEAR Z25 FEED,usd,2.4
113,2BL06220,kyocera,KYOCERA EARTH VERTICAL FEED,usd,3.6
114,2BL06230,kyocera,KYOCERA GROUND PLATE A FEED,usd,1.2
115,2BL06260,kyocera,KYOCERA FRONT GUIDE REGIST,usd,48.0
116,2BL06320,kyocera,KYOCERA BELT CONVEYING,usd,6.0
117,2BL06330,kyocera,KYOCERA GUIDE B FEED,usd,9.6
118,2BL06340,kyocera,KYOCERA SPRING FEED,usd,1.2
119,2BL06360,kyocera,KYOCERA GEAR Z42 BYPASS,usd,2.4
120,2BL06380,kyocera,KYOCERA GEAR Z25 JOINT,usd,2.4
121,2BL06410,kyocera,KYOCERA GROUND PLATE MIDDLE,usd,1.2
122,2BL06430,kyocera,KYOCERA COVER CONNECTOR,usd,1.2
123,2BL06440,kyocera,KYOCERA MOUNT REGIST SWITCH,usd,2.4
124,2BL06450,kyocera,KYOCERA HOLDER FEED SWITCH,usd,2.4
125,2BL06460,kyocera,KYOCERA SPRING LEFT COVER,usd,1.2
126,2BL06480,kyocera,KYOCERA FILM REGIST F,usd,2.4
127,2BL06590,kyocera,KYOCERA PULLEY RAIL,usd,3.6
128,2BL06680,kyocera,KYOCERA CAM BYPASS,usd,2.4
129,2BL06690,kyocera,KYOCERA MOUNT BYPASSDRIVE,usd,36.0
130,2BL06720,kyocera,KYOCERA GEAR 55/15,usd,4.8
131,2BL06730,kyocera,KYOCERA ACTUATOR BYPASSFEED,usd,4.8
132,2BL06780,kyocera,KYOCERA SPRING BYPASSFEED,usd,1.2
133,2BL06800,kyocera,KYOCERA SPRING BYPASS,usd,2.4
134,2BL06810,kyocera,KYOCERA BELT BYPASSFEED,usd,6.0
135,2BL06820,kyocera,KYOCERA PULLEY25 BYPASSFEED,usd,2.4
136,2BL06830,kyocera,KYOCERA DIAL BYPASSFEED,usd,1.2
137,2BL06840,kyocera,KYOCERA SPRING BYPASS RET,usd,1.2
138,2BL06850,kyocera,KYOCERA JOINT RETARD,usd,8.4
139,2BL06860,kyocera,KYOCERA SPRING RETARD,usd,2.4
140,2BL06870,kyocera,KYOCERA SPRING JOINTRETARD,usd,2.4
141,2BL06880,kyocera,KYOCERA FILM BYPASS,usd,1.2
142,2BL06890,kyocera,KYOCERA PLATE BYPASS HOLD,usd,1.2
143,2BL06940,kyocera,KYOCERA EARTH PUSH SWITCH,usd,3.6
144,2BL06950,kyocera,KYOCERA DUMPER LEFT COVER,usd,80.4
145,2BL06960,kyocera,KYOCERA STRAP RELEASE,usd,2.4
146,2BL06970,kyocera,KYOCERA FILM REGIST FF,usd,1.2
147,2BL06990,kyocera,KYOCERA STOPPER GEAR 8-25,usd,2.4
148,2BL07010,kyocera,KYOCERA FRAME DU,usd,52.8
149,2BL07020,kyocera,KYOCERA ROLLER DU FEED UP,usd,27.6
150,2BL07030,kyocera,KYOCERA ROLLER DU FEED LOW,usd,28.8
151,2BL07040,kyocera,KYOCERA PULLEY DU,usd,2.4
152,2BL07060,kyocera,KYOCERA SPRING DU PULLEY,usd,1.2
153,2BL07080,kyocera,KYOCERA SPRING DU JOINT,usd,1.2
154,2BL07090,kyocera,KYOCERA ACTUATOR DU,usd,4.8
155,2BL07110,kyocera,KYOCERA PLATE EARTH DU,usd,6.0
156,2BL07120,kyocera,KYOCERA PLATE NUT DU,usd,2.4
157,2BL07130,kyocera,KYOCERA SPRING DU ACT.,usd,1.2
158,2BL07140,kyocera,KYOCERA FILM WIRE DU,usd,1.2
159,2BL07860,kyocera,KYOCERA SPRING BYPASS,usd,2.4
160,2BL07900,kyocera,KYOCERA PLATE LEADING FEED,usd,2.4
161,2BL07910,kyocera,KYOCERA SUPPORT PLATE FEED,usd,8.4
162,2BL07950,kyocera,KYOCERA UNDER CLEANER REGIST,usd,15.6
163,2BL07970,kyocera,KYOCERA CUT WASHER 10,usd,2.4
164,2BL07990,kyocera,KYOCERA SPRING SEPARATION,usd,2.4
165,2BL10070,kyocera,KYOCERA GRID,usd,31.2
166,2BL13070,kyocera,KYOCERA FRONT ADJUSTING LSU,usd,2.4
167,2BL13120,kyocera,KYOCERA FRONT MOUNT HOUSING,usd,2.4
168,2BL13290,kyocera,KYOCERA SPRING FIX LSU,usd,1.2
169,2BL14011,kyocera,KYOCERA ROLLER MAGNET,usd,174.0
170,2BL14110,kyocera,KYOCERA GEAR 23/18,usd,38.4
171,2BL14130,kyocera,KYOCERA GROUND PLATE B DLP,usd,1.2
172,2BL14150,kyocera,KYOCERA SHAFT A DLP,usd,1.2
173,2BL14170,kyocera,KYOCERA HANDLE DLP,usd,7.2
174,2BL14180,kyocera,KYOCERA FRONT ARM RAIL,usd,7.2
175,2BL14190,kyocera,KYOCERA REAR ARM RAIL,usd,9.6
176,2BL14200,kyocera,KYOCERA RAIL DLP,usd,37.2
177,2BL14220,kyocera,KYOCERA PIN LEVER DLP,usd,9.6
178,2BL14250,kyocera,KYOCERA GEAR 18,usd,2.4
179,2BL14281,kyocera,KYOCERA FRONT SEAL DLP,usd,8.4
180,2BL14291,kyocera,KYOCERA REAR SEAL DLP,usd,8.4
181,2BL14320,kyocera,KYOCERA FILM SENSOR,usd,1.2
182,2BL14400,kyocera,KYOCERA SPACER SEAL,usd,1.2
183,2BL14450,kyocera,KYOCERA BEARING MAGNETROLLER,usd,39.6
184,2BL14460,kyocera,KYOCERA SPIRAL D DLP,usd,8.4
185,2BL14470,kyocera,KYOCERA SPIRAL E DLP,usd,9.6
186,2BL14480,kyocera,KYOCERA SEAL WIRE,usd,1.2
187,2BL14490,kyocera,KYOCERA FILM UPPER COVER A,usd,6.0
188,2BL14600,kyocera,KYOCERA MAGNET BLADE,usd,34.8
189,2BL14900,kyocera,KYOCERA BLADE DLP A,usd,21.6
190,2BL16030,kyocera,KYOCERA STOPPER BUSH,usd,2.4
191,2BL16060,kyocera,KYOCERA GEAR REGIST Z18,usd,2.4
192,2BL16080,kyocera,KYOCERA PULLEY FEED,usd,1.2
193,2BL16100,kyocera,KYOCERA STRAP CONVEYING A,usd,2.4
194,2BL16110,kyocera,KYOCERA STRAP CONVEYING B,usd,2.4
195,2BL16130,kyocera,KYOCERA GUIDE REGIST F,usd,2.4
196,2BL16150,kyocera,KYOCERA PLATE TRANS B,usd,6.0
197,2BL16160,kyocera,KYOCERA PLATE TRANS UNIT GND,usd,6.0
198,2BL16170,kyocera,KYOCERA PLATE SEPARATION B,usd,2.4
199,2BL16180,kyocera,KYOCERA HANDLE CONVEYING,usd,6.0
200,2BL16190,kyocera,KYOCERA HOOK CONVEYING,usd,2.4
201,2BL16200,kyocera,KYOCERA SPRING CONVEYING,usd,2.4
202,2BL16220,kyocera,KYOCERA BRUSH CLEANER,usd,1.2
203,2BL16250,kyocera,KYOCERA GUIDE FEED F,usd,10.8
204,2BL16260,kyocera,KYOCERA BUSHING REGIST,usd,2.4
205,2BL16290,kyocera,KYOCERA CUT WASHER 3,usd,1.2
206,2BL17010,kyocera,KYOCERA HOUSING TRANSFER,usd,12.0
207,2BL17050,kyocera,KYOCERA PLATE TRANS UNIT,usd,1.2
208,2BL17080,kyocera,KYOCERA SPRING TRANS R,usd,1.2
209,2BL17140,kyocera,KYOCERA SHEET TRANS GUIDE,usd,22.8
210,2BL17150,kyocera,KYOCERA LEFT GUIDE TRANSFER,usd,36.0
211,2BL17170,kyocera,KYOCERA BUSHING 8,usd,2.4
212,2BL17180,kyocera,KYOCERA SPRING LEFT GUIDE,usd,1.2
213,2BL17190,kyocera,KYOCERA REINFORCEMENT TRANS,usd,4.8
214,2BL18060,kyocera,KYOCERA SPIRAL CLEANING,usd,9.6
215,2BL18070,kyocera,KYOCERA LOWER SEAL CLEANING,usd,27.6
216,2BL18160,kyocera,KYOCERA GEAR SPIRAL 16,usd,2.4
217,2BL18300,kyocera,KYOCERA BLADE CLEANING,usd,25.2
218,2BL18320,kyocera,KYOCERA HANDLE DRUM,usd,2.4
219,2BL18450,kyocera,KYOCERA REAR BUSHING SPIRAL,usd,1.2
220,2BL18520,kyocera,KYOCERA BUSHING CL ROLLER A,usd,3.6
